"701","MYR","MYR","458","00000000",""
"701","MZM","MZM","508","00000000",""
"701","NAD","NAD","516","00000000",""
"701","NGN","NGN","566","00000000",""
"701","NIO","NIO","558","00000000",""
"701","NLG","NLG","528","00000000",""
"701","NOK","NOK","578","00000000",""
"701","NPR","NPR","524","00000000",""
"701","NZD","NZD","554","00000000",""
"701","OMR","OMR","512","00000000",""
"507","DOP","DOP","","00000000",""
"701","PAB","PAB","590","00000000",""
"507","DZD","DZD","","00000000",""
"701","PEN","PEN","604","00000000",""
"507","ECS","ECS","","00000000",""
"701","PGK","PGK","598","00000000",""
"507","ECU","ECU","","00000000",""
"701","PHP","PHP","608","00000000",""
"507","EEK","EEK","","00000000",""
"701","PKR","PKR","586","00000000",""
"701","PLN","PLN","985","00000000",""
"507","EGP","EGP","","00000000",""
"701","PTE","PTE","620","00000000",""
"507","ESP","ESP","141","00000000",""
"519","CFP","CFP","","00000000",""
"701","PYG","PYG","600","00000000",""
"507","ETB","ETB","","00000000",""
"701","QAR","QAR","634","00000000",""
"519","CHF","CHF","051","00000000",""
"701","RMB","CNY","156","00000000",""
"507","FIM","FIM","","00000000",""
"519","CLP","CLP","","00000000",""
"701","ROL","ROL","642","00000000",""
"507","FJD","FJD","","00000000",""
"519","CNY","","","00000000",""
"701","RUB","RUB","643","00000000",""
"507","FKP","FKP","","00000000",""
"519","COP","COP","","00000000",""
"701","RWF","RWF","646","00000000",""
"507","FRF","FRF","021","00000000",""
"519","CRC","CRC","","00000000",""
"507","GBP","GBP","031","00000000",""
"701","SAR","SAR","682","00000000",""
"519","CUP","CUP","","00000000",""
"500","FKP","FKP","","00000000",""
"701","SBD","SBD","090","00000000",""
"519","CVE","CVE","","00000000",""
"507","GEK","GEK","","00000000",""
"701","SCR","SCR","690","00000000",""
"519","CYP","CYP","","00000000",""
"507","GHC","GHC","","00000000",""
"500","FRF","FRF","021","00000000",""
"526","USDN","USD","840","00000000",""
"701","SDD","SDD","736","00000000",""
"519","CZK","CZK","","00000000",""
"507","GIP","GIP","","00000000",""
"500","GBP","GBP","031","00000000",""
"701","SDP","SDP","736","00000000",""
"507","GMD","GMD","","00000000",""
"500","GEK","GEK","","00000000",""
"701","SEK","SEK","752","00000000",""
"526","UYU","UYU","858","00000000",""
"701","SGD","SGD","702","00000000",""
"500","GHC","GHC","","00000000",""
"507","GNF","GNF","","00000000",""
"526","UZS","UZS","860","00000000",""
"701","SHP","SHP","654","00000000",""
"500","GIP","GIP","","00000000",""
"507","GRD","GRD","","00000000",""
"108","KRW","KRW","410","00000000",""
"701","SIT","SIT","705","00000000",""
"500","GMD","GMD","","00000000",""
"507","GTQ","GTQ","","00000000",""
"526","VEB","VEB","862","00000000",""
"701","SKK","SKK","703","00000000",""
"108","KWD","KWD","414","00000000",""
"507","GWP","GWP","","00000000",""
"500","GNF","GNF","","00000000",""
"526","VND","VND","704","00000000",""
"701","SLL","SLL","694","00000000",""
"108","KYD","KYD","136","00000000",""
"507","GYD","GYD","","00000000",""
"519","DEM","DEM","061","00000000",""
"500","GRD","GRD","","00000000",""
